web-scraper-order,web-scraper-start-url,vetements_enfants,vetements_enfants-href,type_clothes,price,address,image_link-src
"1732707860-65","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Vêtement enfant","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-777023","Vêtement enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2512733_uploaded_image1_1596568364.jpg"
"1732707867-66","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Vêtement enfant","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-777027","Vêtement enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2512733_uploaded_image1_1596568364.jpg"
"1732707873-67","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robe enfant","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-777032","Robe enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4677506_uploaded_image1_1712318751.jpg"
"1732707879-68","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robe enfant","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-777036","Robe enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4677506_uploaded_image1_1712318751.jpg"
"1732707886-69","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robe enfant","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-777045","Robe enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4677506_uploaded_image1_1712318751.jpg"
"1732707892-70","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robe","https://sn.coinafrique.com/annonce/vetements-enfants/robe-777111","Robe","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4783648_uploaded_image1_1717719693.jpg"
"1732707899-71","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robe","https://sn.coinafrique.com/annonce/vetements-enfants/robe-777117","Robe","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4783648_uploaded_image1_1717719693.jpg"
"1732707905-72","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robe enfant","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-777120","Robe enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4677506_uploaded_image1_1712318751.jpg"
"1732707912-73","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robe","https://sn.coinafrique.com/annonce/vetements-enfants/robe-777129","Robe","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4783648_uploaded_image1_1717719693.jpg"
"1732707918-74","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robe","https://sn.coinafrique.com/annonce/vetements-enfants/robe-777133","Robe","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4783648_uploaded_image1_1717719693.jpg"
"1732707924-75","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robe petite fille","https://sn.coinafrique.com/annonce/vetements-enfants/robe-petite-fille-777193","Robe petite fille","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_3785563_uploaded_image1_1657883218.jpg"
"1732707931-76","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robe","https://sn.coinafrique.com/annonce/vetements-enfants/robe-777221","Robe","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4783648_uploaded_image1_1717719693.jpg"
"1732707937-77","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Vêtements pour enfant","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-pour-enfant-777403","Vêtements pour enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2512733_uploaded_image1_1596568364.jpg"
"1732707944-78","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robe enfant","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-777414","Robe enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4677506_uploaded_image1_1712318751.jpg"
"1732707950-79","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robe enfant","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-777455","Robe enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4677506_uploaded_image1_1712318751.jpg"
"1732707956-80","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Vêtements enfant","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-777469","Vêtements enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2512733_uploaded_image1_1596568364.jpg"
"1732707963-81","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robe fillette","https://sn.coinafrique.com/annonce/vetements-enfants/robe-fillette-777474","Robe fillette","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1373672_uploaded_image1_1576952145.0.png"
"1732707969-82","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robe fillette","https://sn.coinafrique.com/annonce/vetements-enfants/robe-fillette-777479","Robe fillette","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1373672_uploaded_image1_1576952145.0.png"
"1732707976-83","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robe enfant","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-777499","Robe enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4677506_uploaded_image1_1712318751.jpg"
"1732707982-84","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robe enfant","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-777518","Robe enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4677506_uploaded_image1_1712318751.jpg"
"1732707988-85","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Vêtements enfant","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-777530","Vêtements enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2512733_uploaded_image1_1596568364.jpg"
"1732707995-86","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Ensemble Biberon 5 Pièces de Garçons en Bleu - à partir de ...","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-biberon-5-pieces-de-garcons-en-bleu-a-partir-de-la-naissance-0-m-et-777756","Ensemble Biberon 5 Pièces de Garçons en Bleu - à partir de la naissance 0 m et +","1 900 CFA","Sicap Liberté, Dakar, Sénégal",""
"1732708002-87","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Ensemble pour enfant","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfant-780854","Ensemble pour enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5010301_uploaded_image1_1729811616.jpg"
"1732708008-88","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Tenue enfant","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-780901","Tenue enfant","18 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2904738_uploaded_image1_1611251495.jpg"
"1732708015-89","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Costume Enfant","https://sn.coinafrique.com/annonce/vetements-enfants/costume-enfant-789093","Costume Enfant","Prix sur demande","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_5010301_uploaded_image1_1729811616.jpg"
"1732708021-90","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Vêtements enfant","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-794850","Vêtements enfant","Prix sur demande","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_4667484_uploaded_image1_1711840999.jpg"
"1732708027-91","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robes pour enfant","https://sn.coinafrique.com/annonce/vetements-enfants/robes-pour-enfant-799190","Robes pour enfant","Prix sur demande","Petit-Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_4910319_uploaded_image1_1724580054.jpg"
"1732708040-92","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robe pour enfants","https://sn.coinafrique.com/annonce/vetements-enfants/robe-pour-enfants-799192","Robe pour enfants","Prix sur demande","Petit-Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_4910319_uploaded_image1_1724580054.jpg"
"1732708057-93","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robe enfant","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-799552","Robe enfant","Prix sur demande","Biscuiterie, Dakar, Sénégal","https://images.coinafrique.com/thumb_4910319_uploaded_image1_1724580054.jpg"
