type_clothes,price,address,image_link-src
Vêtement enfant,Prix sur demande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3198270_uploaded_image1_1625015464.jpg
Ensemble bébé,5 000 CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_2743223_uploaded_image1_1604671783.jpg
Maillot enfant original,5 000 CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_3616215_uploaded_image1_1647769308.jpg
Ensemble pantalon enfant,12 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1810071_uploaded_image1_1584488550.47.png
Combinaison enfant,15 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1834624_uploaded_image1_1584951207.3.png
Tenue de baptême,7 000 CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_1906387_uploaded_image1_1586252732.58.png
Tenue de baptême / fille,7 000 CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4623255_uploaded_image2_1709484828.jpeg
Ensemble coton garçon,3 500 CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_2274571_uploaded_image1_1591981803.jpg
Ensemble enfant garçon,8 000 CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4571564_uploaded_image1_1706728937.jpg
Vêtement enfant,7 000 CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3198270_uploaded_image1_1625015464.jpg
Ensemble enfant,5 000 CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_1943553_uploaded_image1_1586864671.63.jpeg
Ensemble pour bébé,Prix sur demande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_2743223_uploaded_image1_1604671783.jpg
Vêtements enfant,5 000 CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3198270_uploaded_image1_1625015464.jpg
